Path;File;Type;Filter;Score;dX;dY;Angle;Date/Time;Size;CFA;Depth;Info;ISO/Gain;Exposure;Aperture;FWHM;#Stars;Sky Background
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6418.JPG;Light;;35707.82;0.00;0.00;0.00°;11/02/2021 21:51;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.58;4828;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6453.JPG;Light;;27149.82;67.53;-94.17;0.10°;11/02/2021 22:05;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;3.96;3823;59.96 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6527.JPG;Light;;23819.67;93.33;-46.97;0.20°;11/02/2021 22:32;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.01;3391;58.01 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6569.JPG;Light;;20580.41;114.09;-14.99;0.25°;11/02/2021 22:47;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.44;3200;57.62 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6604.JPG;Light;;25704.53;138.70;24.76;0.31°;11/02/2021 23:01;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;4.05;3655;57.03 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6552.JPG;Light;;24104.26;105.12;-28.25;0.23°;11/02/2021 22:41;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.15;3435;57.62 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6596.JPG;Light;;20993.89;135.27;18.17;0.29°;11/02/2021 22:58;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.0 s ;0.0;4.37;3142;57.42 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6410.JPG;Light;;27711.33;-1.34;-3.88;-0.01°;11/02/2021 21:48;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.89;3838;61.52 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6459.JPG;Light;;28930.39;62.51;-94.13;0.11°;11/02/2021 22:08;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;3.76;4019;59.96 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6430.JPG;Light;;26874.39;2.64;5.81;0.01°;11/02/2021 21:56;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;20.2 s ;0.0;3.86;3904;61.13 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6575.JPG;Light;;26183.10;107.75;-13.05;0.26°;11/02/2021 22:49;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.899 s ;0.0;3.94;3733;57.62 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6529.JPG;Light;;23324.31;84.72;-47.82;0.20°;11/02/2021 22:33;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.06;3416;57.81 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6519.JPG;Light;;25718.84;89.44;-52.11;0.19°;11/02/2021 22:29;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.799 s ;0.0;4.10;3695;58.20 %
E:/Astronomie/Images/Nebulas/Orion Nebula/Orion 11 feb 2020/Image data/JPEG - Copy;IMG_6531.JPG;Light;;23600.63;94.40;-44.42;0.21°;11/02/2021 22:33;6000 x 4000;No;RGB 8 bit/ch;JPEG Canon EOS 800D;800;19.7 s ;0.0;4.03;3414;57.81 %
